YEAR,RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
2012,YAMUNA,1492,YAMUNA AT YAMUNOTRI,UTTARAKHAND,3.0,3.0,3.0,8.6,8.6,8.6,7.2,7.2,7.2,52.0,52.0,52.0,,,,,,,,,,,,
2012,YAMUNA,1493,YAMUNA AT HANUMANCHATTI,UTTARAKHAND,10.0,10.0,10.0,8.8,8.8,8.8,8.9,8.9,8.9,80.0,80.0,80.0,,,,,,,,,,,,
2012,YAMUNA,1494,YAMUNA AT U/S OF LAKHWAR DAM,UTTARAKHAND,14.0,24.0,20.0,7.6,8.8,8.2,7.5,8.8,8.1,152.0,254.0,206.0,1.0,2.2,1.6,,,,92000.0,92000.0,92000.0,12.0,200000.0,80006.0
2012,YAMUNA,1490,YAMUNA AT U/S DAK PATTHAR,UTTARAKHAND,15.0,24.0,19.0,8.0,8.6,8.4,8.0,8.4,8.2,99.0,203.0,135.0,1.8,2.6,2.3,,,,11000.0,11000.0,11000.0,110.0,54000.0,10984.0
2012,YAMUNA,1553,"YAMUNA , U/S PAONTA SAHIB",HIMACHAL PRADESH,12.0,25.0,20.0,6.1,9.0,7.9,6.2,8.1,7.3,176.0,663.0,397.0,1.0,1.6,1.3,0.0,0.94,0.29,6.0,7800.0,689.0,16.0,23000.0,3142.0
2012,YAMUNA,1554,"YAMUNA , D/S PAONTA SAHIB",HIMACHAL PRADESH,12.0,27.0,21.0,6.2,9.0,7.7,6.5,8.0,7.5,177.0,947.0,338.0,0.8,1.6,1.2,0.0,1.03,0.35,8.0,16.0,12.0,18.0,28.0,22.0
2012,YAMUNA,1117,YAMUNA AT HATHNIKUND,HARYANA,,,,6.8,10.7,8.7,,,,,,,1.0,2.0,1.4,,,,1100.0,18000.0,7175.0,2000.0,68000.0,25260.0
2012,YAMUNA,1496,"YAMUNA AT KALANAUR,  YAMUNA NAGAR",HARYANA,,,,6.6,11.0,8.5,,,,,,,1.0,3.0,1.0,,,,1800.0,18000.0,8380.0,1800.0,55000.0,25950.0
2012,YAMUNA,1119,YAMUNA AT SONEPAT,HARYANA,,,,6.4,11.3,7.8,,,,,,,1.0,2.0,1.2,,,,2300.0,18000.0,9325.0,11000.0,49000.0,27200.0
2012,YAMUNA,1120,YAMUNA AT WAZIRABAD,DELHI,,,,6.1,11.4,8.8,6.1,8.5,7.3,,,,1.0,3.0,2.0,,,,1100.0,1000000.0,165922.0,2200.0,4000000.0,418356.0
2012,YAMUNA,1121,YAMUNA AT NIZAMUDDIN,DELHI,,,,0.0,5.4,2.7,7.2,8.5,7.9,,,,4.0,39.0,21.5,,,,100000.0,20000000000.0,1900000000.0,300000.0,20000000000.0,1900000000.0
2012,YAMUNA,1375,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL),DELHI,,,,0.0,3.9,2.0,7.2,8.5,7.9,,,,4.0,40.0,22.0,,,,100000.0,20000000000.0,1900000000.0,200000.0,20000000000.0,1900000000.0
2012,YAMUNA,1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,,,,0.0,3.5,1.5,,,,,,,2.0,24.0,12.9,,,,17000.0,800000000.0,210000000.0,23000.0,800000000.0,190000000.0
2012,YAMUNA,2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,17.0,35.0,26.0,2.1,5.2,3.8,7.0,7.4,7.3,,,,9.0,13.8,11.1,,,,21000.0,46000.0,32636.0,41000.0,84000.0,59909.0
2012,YAMUNA,1123,YAMUNA AT MATHURA U/S,UTTAR PRADESH,,,,0.8,8.8,4.4,,,,,,,2.0,14.0,8.1,,,,2000.0,700000.0,226625.0,4000.0,3000000.0,808960.0
