,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG,RIVER
0,1492,YAMUNA AT YAMUNOTRI,UTTARAKHAND,3,3,3,8.6,8.6,8.6,7.2,7.2,7.2,52,52,52,,,,,,,,,,,,,YAMUNA
1,1493,YAMUNA AT HANUMANCHATTI,UTTARAKHAND,10,10,10,8.8,8.8,8.8,8.9,8.9,8.9,80,80,80,,,,,,,,,,,,,YAMUNA
2,1494,YAMUNA AT U/S OF LAKHWAR DAM,UTTARAKHAND,14,24,20,7.6,8.8,8.2,7.5,8.8,8.1,152,254,206,1,2.2,1.6,,,,92000,92000,92000,12,200000,80006,YAMUNA
3,1490,YAMUNA AT U/S DAK PATTHAR,UTTARAKHAND,15,24,19,8,8.6,8.4,8,8.4,8.2,99,203,135,1.8,2.6,2.3,,,,11000,11000,11000,110,54000,10984,YAMUNA
4,1553,"YAMUNA , U/S PAONTA SAHIB",HIMACHAL PRADESH,12,25,20,6.1,9,7.9,6.2,8.1,7.3,176,663,397,1,1.6,1.3,0,0.94,0.29,6,7800,689,16,23000,3142,YAMUNA
5,1554,"YAMUNA , D/S PAONTA SAHIB",HIMACHAL PRADESH,12,27,21,6.2,9,7.7,6.5,8,7.5,177,947,338,0.8,1.6,1.2,0,1.03,0.35,8,16,12,18,28,22,YAMUNA
6,1117,YAMUNA AT HATHNIKUND,HARYANA,,,,6.8,10.7,8.7,,,,,,,1,2,1.4,,,,1100,18000,7175,2000,68000,25260,YAMUNA
7,1496,"YAMUNA AT KALANAUR,  YAMUNA NAGAR",HARYANA,,,,6.6,11,8.5,,,,,,,1,3,1,,,,1800,18000,8380,1800,55000,25950,YAMUNA
8,1119,YAMUNA AT SONEPAT,HARYANA,,,,6.4,11.3,7.8,,,,,,,1,2,1.2,,,,2300,18000,9325,11000,49000,27200,YAMUNA
9,1120,YAMUNA AT WAZIRABAD,DELHI,,,,6.1,11.4,8.8,6.1,8.5,7.3,,,,1,3,2,,,,1100,1000000,165922,2200,4000000,418356,YAMUNA
10,1121,YAMUNA AT NIZAMUDDIN,DELHI,,,,0,5.4,2.7,7.2,8.5,7.9,,,,4,39,21.5,,,,100000,20000000000,1900000000,300000,20000000000,1900000000,YAMUNA
11,1375,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL),DELHI,,,,0,3.9,2,7.2,8.5,7.9,,,,4,40,22,,,,100000,20000000000,1900000000,200000,20000000000,1900000000,YAMUNA
12,1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,,,,0,3.5,1.5,,,,,,,2,24,12.9,,,,17000,800000000,210000000,23000,800000000,190000000,YAMUNA
13,2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,17,35,26,2.1,5.2,3.8,7,7.4,7.3,,,,9,13.8,11.1,,,,21000,46000,32636,41000,84000,59909,YAMUNA
14,1123,YAMUNA AT MATHURA U/S,UTTAR PRADESH,,,,0.8,8.8,4.4,,,,,,,2,14,8.1,,,,2000,700000,226625,4000,3000000,808960,YAMUNA
15,2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,17,35,26,2,5.3,3.6,7.2,7.6,7.3,,,,9.8,14.6,12.1,,,,31000,77000,43364,46000,200000,97000,YAMUNA
16,1124,YAMUNA AT MATHURA D/S,UTTAR PRADESH,,,,1.5,20,7,,,,,,,3,13,7.8,,,,200000,1000000,500000,400000,8000000,2434000,YAMUNA
17,1125,YAMUNA AT AGRA U/S,UTTAR PRADESH,,,,2.6,8.2,5.4,,,,,,,2,10,6.8,,,,7800,300000,197800,70000,5000000,2672000,YAMUNA
18,1126,YAMUNA AT D/S OF AGRA,UTTAR PRADESH,,,,1.6,21.1,6,,,,,,,4,15,9.7,,,,30000,900000,475000,100000,2000000,1303333,YAMUNA
19,2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,17,35,25,1.8,5.8,4.3,7.1,7.9,7.4,,,,7.4,12.8,9.8,,,,17000,33000,25818,31000,54000,43364,YAMUNA
20,1498,YAMUNA AT BATESWAR,UTTAR PRADESH,,,,2.1,17.2,8,,,,,,,2,15,9,,,,1000000,1000000,1100000,27000,9000000,3084667,YAMUNA
21,1127,YAMUNA AT ETAWAH,UTTAR PRADESH,,,,4.3,15.6,8.7,,,,,,,1,14,7.4,,,,,,,100000,100000,110000,YAMUNA
22,1499,"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH",UTTAR PRADESH,,,,4.1,14.7,9.4,,,,,,,1,7,4,,,,100000,100000,130000,23000,2000000,582000,YAMUNA
