RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
SATLUJ,1867,"RIVER SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR, H.P.",HIMACHAL PRADESH,9,13,11.0,9.7,10,9.85,7.3,8.2,7.75,116,601,358.5,0.1,0.2,0.15000000000000002,0,0.1,0.05,,,,,,
SATLUJ,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,9,13,11.0,9.6,10.1,9.85,7.3,8.3,7.800000000000001,118,592,355.0,0.1,0.2,0.15000000000000002,0,0.1,0.05,,,,,,
SATLUJ,1389,"SATLUJ AT NEPTHA ZAKHAI, H.P",HIMACHAL PRADESH,10,15,12.5,9.4,9.7,9.55,7.3,8.2,7.75,67,595,331.0,0.1,0.2,0.15000000000000002,0,0.2,0.1,,,,,,
SATLUJ,1086,"SATLUJ AT U/S RAMPUR, H.P.",HIMACHAL PRADESH,11,17,14.0,9.2,9.6,9.399999999999999,7.2,8.6,7.9,117,603,360.0,0.1,0.2,0.15000000000000002,0,0.1,0.05,,,,,,
SATLUJ,1087,"SATLUJ AT D/S RAMPUR, H.P.",HIMACHAL PRADESH,10,17,13.5,9.1,9.6,9.35,7.4,8.5,7.95,116,598,357.0,0.1,0.2,0.15000000000000002,0,0.1,0.05,,,,,,
SATLUJ,1013,"SATLUJ AT U/S TATAPANI, H.P.",HIMACHAL PRADESH,11,18,14.5,9,9.8,9.4,7.1,8.6,7.85,86,604,345.0,0.1,0.2,0.15000000000000002,0,0.2,0.1,,,,,,
SATLUJ,1014,"SATLUJ AT U/S SLAPPER, H.P.",HIMACHAL PRADESH,6,18,12.0,6,9.7,7.85,7.5,8.4,7.95,90,303,196.5,0.1,0.1,0.1,0,0.4,0.2,23,79,51.0,130,280,205.0
SATLUJ,1015,"SATLUJ AT D/S SLAPPER, H.P.",HIMACHAL PRADESH,5,17,11.0,8,9.8,8.9,7.5,8.6,8.05,78,299,188.5,0.1,0.1,0.1,0,0.3,0.15,31,94,62.5,170,430,300.0
SATLUJ,1016,"SATLUJ AT D/S BHAKHRA, H.P.",HIMACHAL PRADESH,9,27,18.0,5,8,6.5,7,8.7,7.85,206,300,253.0,0.2,0.7,0.44999999999999996,0,0.9,0.45,12,17,14.5,33,130,81.5
SATLUJ,1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",PUNJAB,16,20,18.0,7.8,9,8.4,7.4,8,7.7,208,260,234.0,,,,0.2,1,0.6,17,35,26.0,40,100,70.0
SATLUJ,1018,"SATLUJ AT 100M D/S , NANGAL, PUNJAB",PUNJAB,17.2,18,17.6,7.5,8.6,8.05,7.5,8.5,8.0,230,272,251.0,0.6,0.6,0.6,0.7,1.2,0.95,230,300,265.0,400,430,415.0
SATLUJ,1293,"SATLUJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,17.4,25,21.2,6.4,7.8,7.1,7.3,8,7.65,275,495,385.0,1.6,2.5,2.05,1,2,1.5,140,930,535.0,430,1400,915.0
SATLUJ,1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,16,20,18.0,7.8,8.2,8.0,7.5,7.9,7.7,252,267,259.5,0.4,1.2,0.8,0.4,1.2,0.8,170,230,200.0,400,460,430.0
SATLUJ,1019,"SATLUJ AT U/S HEAD WORKS ROPAR, PUNJAB",PUNJAB,17.2,26,21.6,7.6,8.1,7.85,7.3,7.8,7.55,205,992,598.5,1.2,2.6,1.9,0.4,2,1.2,110,390,250.0,400,640,520.0
SATLUJ,1380,"SATLUJ AT D/S NFL, PUNJAB",PUNJAB,17,22,19.5,7.6,8.9,8.25,7.5,8.5,8.0,238,372,305.0,0.8,2.5,1.65,1.2,1.4,1.2999999999999998,90,150,120.0,140,390,265.0
SATLUJ,1690,"U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,12,24,18.0,6,6.7,6.35,7.2,7.7,7.45,388,432,410.0,1.2,2.6,1.9,1,1.6,1.3,140,280,210.0,300,640,470.0
SATLUJ,1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA, PUNJAB",PUNJAB,14,24,19.0,4,4.4,4.2,7,7.6,7.3,502,1096,799.0,13,24,18.5,1,4.3,2.65,35000,43000,39000.0,50000,64000,57000.0
SATLUJ,1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALAHAR, PUNJAB",PUNJAB,15,26,20.5,5.5,8,6.75,7.2,7.7,7.45,351,714,532.5,4,10,7.0,0.6,2.6,1.6,280,14000,7140.0,640,30000,15320.0
SATLUJ,1381,"SATLUJ AT D/S EAST BASIN, PUNJAB",PUNJAB,12,21,16.5,2.1,4,3.05,7.1,7.8,7.449999999999999,398,810,604.0,4,10.2,7.1,3.8,4.6,4.199999999999999,3000,7500,5250.0,6000,14000,10000.0
SATLUJ,1691,"SATLUJ U/S HUSSANIWALA - H/W FEROZEPUR, PUNJAB",PUNJAB,16,25,20.5,7.7,8.4,8.05,7.3,8.4,7.85,260,275,267.5,1.2,2,1.6,0.4,1.2,0.8,110,210,160.0,280,390,335.0
