RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
BEAS,1001,BEAS  U/S MANALI,HIMACHAL PRADESH,25.0,31.0,28.0,5.5,8.0,6.75,7.8,8.5,8.15,194.0,486.0,340.0,1.2,3.0,2.1,0.2,0.9,0.55,130.0,1300.0,715.0,840.0,3500.0,2170.0
BEAS,2601,BEAS D/S MANALI,HIMACHAL PRADESH,5.0,19.0,12.0,7.6,10.1,8.85,7.0,8.4,7.7,88.0,152.0,120.0,0.1,0.3,0.2,0.0,1.0,0.5,11.0,43.0,27.0,70.0,280.0,175.0
BEAS,2602,BEAS U/S KULLU,HIMACHAL PRADESH,5.0,20.0,12.5,7.7,9.6,8.65,6.8,8.3,7.550000000000001,92.0,194.0,143.0,0.1,0.1,0.1,0.0,0.8,0.4,11.0,34.0,22.5,94.0,280.0,187.0
BEAS,1002,BEAS  D/S KULU,HIMACHAL PRADESH,24.0,25.0,24.5,,,,4.3,6.6,5.449999999999999,205.0,224.0,214.5,0.4,0.8,0.6000000000000001,0.5,0.9,0.7,2.0,30.0,16.0,0.0,100.0,50.0
BEAS,1003,BEAS  D/S AUT,HIMACHAL PRADESH,23.0,29.0,26.0,2.5,6.82,4.66,6.9,8.3,7.6,76.0,326.0,201.0,2.0,8.8,5.4,0.1,1.2,0.65,8.0,40.0,24.0,70.0,1600.0,835.0
BEAS,1005,"BEAS  EXIT OF TUNNEL
DEHAL POWER HOUSE",HIMACHAL PRADESH,24.0,31.0,27.5,6.0,7.6,6.8,7.3,7.8,7.55,110.0,400.0,255.0,2.0,4.0,3.0,0.1,0.3,0.2,140.0,900.0,520.0,350.0,2400.0,1375.0
BEAS,1550,BEAS U/S MANDI,HIMACHAL PRADESH,10.0,24.0,17.0,7.6,11.5,9.55,7.2,8.1,7.65,92.0,259.0,175.5,0.1,0.1,0.1,0.0,0.7,0.35,11.0,32.0,21.5,94.0,210.0,152.0
BEAS,1006,BEAS  D/S MANDI,HIMACHAL PRADESH,10.0,26.0,18.0,7.5,11.6,9.55,7.2,8.2,7.699999999999999,121.0,342.0,231.5,0.1,0.2,0.15,0.0,1.0,0.5,17.0,63.0,40.0,130.0,540.0,335.0
BEAS,2604,BEAS  D/S JAISINGHPUR,HIMACHAL PRADESH,13.0,19.0,16.0,7.5,8.7,8.1,7.0,8.6,7.8,165.0,453.0,309.0,0.3,2.0,1.15,0.0,0.2,0.1,6.0,17.0,11.5,170.0,280.0,225.0
BEAS,1007,BEAS  D/S ALAMPUR,HIMACHAL PRADESH,15.0,20.0,17.5,7.1,8.4,7.75,6.7,8.7,7.699999999999999,167.0,454.0,310.5,0.4,1.0,0.7,0.0,0.3,0.15,5.0,14.0,9.5,140.0,280.0,210.0
BEAS,1009,BEAS  D/S PONG DAM,HIMACHAL PRADESH,14.0,20.0,17.0,6.7,8.7,7.699999999999999,7.4,8.5,7.95,165.0,310.0,237.5,0.1,0.5,0.3,0.0,0.2,0.1,6.0,13.0,9.5,130.0,280.0,205.0
BEAS,1693,BEAS AT TALWARA H/W,PUNJAB,12.0,21.0,16.5,7.2,8.1,7.65,7.3,7.8,7.55,192.0,227.0,209.5,0.4,0.4,0.4,0.4,0.8,0.6000000000000001,70.0,180.0,125.0,110.0,360.0,235.0
BEAS,1694,BEAS U/S PATHANKOT,PUNJAB,12.0,23.0,17.5,6.0,7.8,6.9,7.0,7.6,7.3,214.0,301.0,257.5,0.4,1.1,0.75,0.7,1.6,1.15,84.0,210.0,147.0,210.0,400.0,305.0
BEAS,1695,BEAS D/S PATHANKOT,PUNJAB,11.0,22.0,16.5,7.0,7.8,7.4,7.1,7.6,7.35,270.0,312.0,291.0,0.8,1.4,1.1,1.2,2.2,1.7000000000000002,94.0,250.0,172.0,330.0,580.0,455.0
BEAS,1294,"BEAS AT 1KM.D/S OF EFFL.
DISH. POINT AT MUKERIAN",PUNJAB,10.0,22.0,16.0,5.0,6.4,5.7,7.0,7.5,7.25,296.0,372.0,334.0,2.2,3.8,3.0,1.4,2.0,1.7,170.0,270.0,220.0,430.0,790.0,610.0
BEAS,1011,"BEAS AT G.T.ROAD UNDER
BDG. NEAR KAPURTHALA",PUNJAB,11.0,21.0,16.0,7.3,7.8,7.55,7.2,7.6,7.4,198.0,288.0,243.0,0.7,1.3,1.0,0.0,2.4,1.2,110.0,180.0,145.0,260.0,430.0,345.0
